tombo;titulo;subtitulo;volume;edição;exemplares;exemplar;autor;editora;procedencia;Cutter;Ano de Publicação;ISBN;capa;genero;Sinopse
11;Contabilidade;Básica;1;9 ed.;1;ex. 01;Ricardo J. Ferreira;Ferreira;Compra;F381c;2011;978-85-7842-159-5;11.png;4;Contabilidade Básica é um livro completo para você que, partindo do zero, precisa enfrentar os desafios dessa matéria ou que já deu os primeiros passos e quer dominar a disciplina. Além de abordar os temas introdutórios, trata amplamente dos principais pronunciamentos do CPC. 
12;Contabilidade Gerencial e Societária;Origens e desenvolvimento.;1;1 ed.;1;ex. 01;Alvaro Ricardino;Saraiva;Compra;R487c;2005;978-85-02-046955;12.png;4;Fruto de extensa pesquisa por parte do autor, o livro Contabilidade Gerencial e Societária - Origens e Desenvolvimento traz uma nova teoria acerca do estudo da Contabilidade. Os autores e os estudiosos da Contabilidade situam seu início sempre na Revolução Industrial, porém o autor, com embasamento teórico e pesquisa profunda sobre o tema, mostra que suas origens aparecem muito antes disso, já na Idade Média. 
13;Contabilidade de custos para não contadores;;1;4 ed.;1;ex. 01;Luís Martins de Oliveira e José Hernandez Perez Jr.;Atlas;Compra;O48c;2009;978-85-224-5520-1;13.png;4;Este livro foi elaborado levando em consideração as necessidades específicas dos usuários da contabilidade não contadores. Nesse sentido, evita termos e conceitos excessivamente técnicos da Ciência da Contabilidade e procura simplificar algumas idéias e metodologias para apuração, controle, análise e gestão de custos. 
14;Gestão ambiental na empresa;;1;2 ed.;1;ex. 01;Denis Donaire;Atlas;Compra;D674g;2011;978-85-224-2185-5;14.png;4;O livro caracteriza a mudança no ambiente dos negócios, enfatiza a importância da variável ecológica e discute a questão ambiental sob o enfoque econômico. Aborda ainda a questão ambiental na empresa, a repercussão da função e atividade ambiental na organização dos programas de gestão ambiental.
15;Logística empresarial;O processo de integração da cadeia de suprimento.;1;1 ed.;1;ex. 01;Donald J. Bowersox;Atlas;Compra;B786l;2011;978-85-224-2877-9;15.png;4;Este livro trata do desenvolvimento e dos fundamentos da logística empresarial.Apresenta a visão dos autores em relação ao futuro da logística nas empresas e seu papel na competitividade entre elas. Expande o assunto e as perspectivas para refletir a crescenteimportância do papel da logística na estratégia competitiva globalizada.
16;Jogos Vorazes;Jogos da fome ;1;1 ed.;1;ex. 01;Suzanne V. Colins;Rocco;ParaTCC;C713j;2021;978-85-325-0329-9;16.png;2;Na região antigamente conhecida como América do Norte, a Capital de Panem controla 12 distritos e os força a escolher um garoto e uma garota, conhecidos como tributos, para competir em um evento anual televisionado. Todos os cidadãos assistem aos temidos jogos, no qual os jovens lutam até a morte, de modo que apenas um saia vitorioso. A jovem Katniss Everdeen, do Distrito 12, confia na habilidade de caça e na destreza com o arco, além dos instintos aguçados, nesta competição mortal.
17;Iracema;;1;74 ed.;1;ex. 01;José de Alencar;L&PM POCKET ;ParaTCC;A368i;1997;978-85-254-0683-5;17.png;3;Iracema é uma virgem tabajara da tribo que, durante a colonização, luta contra os portugueses a favor dos franceses e se apaixona por Martim, um conquistador luso, numa história de amor que procura sintetizar contradições do então nascente povo do Brasil.
18;O Cortiço;;1;1 ed.;1;ex. 01;Aluisio de Azevedo;Penguin;ParaTCC;A994c;2016;978-85-828-5034-3;18.png;3;Publicado em 1890, O cortiço é um marco da aclimatação do naturalismo em nossas letras. É também uma denúncia ainda muito atual e aguda  das condições de vida das classes populares, espremidas em lugares insalubres e exploradas por patrões gananciosos.
19;O Pequeno Príncipe;;1;1 ed.;1;ex. 01;Antonie de Saint-Exupery;Novo Século;ParaTCC;S157p;2019;978-85-428-1599-3;19.png;1;"Pequeno príncipe tornou-se obra de apelo universal, um clássico moderno traduzido para mais de oitenta idiomas. Suas páginas abrigam valiosas lições sobre a solidão, a amizade, o tempo, a vida e a morte, compartilhadas conosco por meio do pequeno habitante do asteroide B 612. É, na verdade, uma ode à infância, uma delicada viagem a esse planeta que aos poucos abandonamos, vivendo em prol das nossas vaidades, vícios, obrigações, números e demais coisas ""sérias e importantes""."
20;Anne de Green Gables;;1;1 ed.;1;ex. 01;Lucy Maud Montgomery;Autêntica;ParaTCC;M787a;2019;978-85-513-0600-0;20.png;1;Quando os irmãos Marilla e Matthew Cuthbert, de Green Gables, na Prince Edward Island, no Canadá, decidem adotar um órfão para ajudá-los nos trabalhos da fazenda, não estão preparados para o “erro” que mudará suas vidas: Anne Shirley, uma menina ruiva de 11 anos, acaba sendo enviada, por engano, pelo orfanato. Apesar do acontecimento inesperado, a natureza expansiva, sempre de bem com a vida, a curiosidade, a imaginação peculiar e a tagarelice da menina conquistam rapidamente os relutantes pais adotivos. O espírito combativo e questionador de Anne logo atrai o interesse das pessoas do lugar e muitos problemas também.
21;Diário de um banana;;1;31 ed.;1;ex. 01;Jeff Kinney;VR Editora;ParaTCC;K55d;2008;978-85-768-3130-3;21.png;1;Não é fácil ser criança. E ninguém sabe disso melhor do que Greg Heffley, que se vê mergulhado no ensino fundamental, onde fracotes subdesenvolvidos dividem os corredores com garotos que são mais altos, mais malvados e já se barbeiam.Em Diário de um banana, o autor e ilustrador Jeff Kinney nos apresenta um herói improvável. Como Greg diz em seu diário: “ Só não espere que eu seja todo 'Querido diário' isso, 'Querido diário' aquilo.”Para nossa sorte, o que Greg Heffley diz que fará e o que ele realmente faz são duas coisas bem diferentes.
22;Harry Potter;O prisioneiro de Azkaban;3;1 ed.;1;ex. 01;J.K. Rowling;Rocco;ParaTCC;R884o;2017;978-85-325-3080-6;22.png;2;As aulas estão de volta à Hogwarts e Harry Potter não vê a hora de embarcar no expresso a vapor que o levará de volta à escola de bruxaria. Mais uma vez suas férias na rua dos Alfeneiros foi triste e solitária. Com muita ação, humor e magia, 'Harry Potter e o prisioneiro de Azkaban' traz de volta o gigante atrapalhado Rúbeo Hagrid, o sábio diretor Alvo Dumbledore, a exigente professora de transformação Minerva MacGonagall e o novo mestre Lupin, que guarda grandes surpresas para Harry.
23;Bird Box;Caixa De Pássaros;1;2 ed.;1;ex. 01;Josh Malerman;Intrínseca;ParaTCC;M245b;2019;978-85-510-0492-0;23.png;5;Quatro anos depois das mortes terem começado, há poucos sobreviventes em Michigan. Malorie e seus dois filhos pequenos estão entre eles. O trio faz parte do grupo que tenta resistir em um mundo no qual abrir os olhos pode ser fatal. Vivendo em uma casa abandonada, Malorie e os filhos não sabem o que se passa do lado de fora. Sempre com as janelas e portas cobertas e sem comunicação com o exterior, o local é uma área isolada no meio do caos. Até o momento em que uma misteriosa neblina atinge a região e Malorie toma uma decisão que adiou por muito tempo. Após quatro anos trancados, Malorie e as crianças fogem da casa em um barco a remo na esperança de encontrar um lugar distante do surto que matou todos ao seu redor.
24;Percy Jackson e os olimpianos;O ladrão de raios ;1;1 ed.;1;ex. 01;Rick Riordan;Intrínseca;ParaTCC;R585l;2014;978-85-805-7539-2;24.png;1;Primeiro volume da saga Percy Jackson e os olimpianos, O ladrão de raios esteve entre os primeiros lugares na lista das séries mais vendidas do The New York Times. O autor conjuga lendas da mitologia grega com aventuras no século XXI. Nelas, os deuses do Olimpo continuam vivos, ainda se apaixonam por mortais e geram filhos metade deuses, metade humanos, como os heróis da Grécia antiga. Marcados pelo destino, eles dificilmente passam da adolescência. Poucos conseguem descobrir sua identidade.O garoto-problema Percy Jackson é um deles. Tem experiências estranhas em que deuses e monstros mitológicos parecem saltar das páginas dos livros direto para a sua vida. Pior que isso: algumas dessas criaturas estão bastante irritadas. Um artefato precioso foi roubado do Monte Olimpo e Percy é o principal suspeito. Para restaurar a paz, ele e seus amigos  jovens heróis modernos terão de fazer mais do que capturar o verdadeiro ladrão: precisam elucidar uma traição mais ameaçadora que fúria dos deuses.
25;A  Moreninha ;;1;2 ed.;1;ex. 01;Joaquim M. de Macedo; FTD Educação;ParaTCC;M141a;2010;978-85-322-7548-6;25.png;3;No livro de Macedo, o estudante Augusto, conhecido por sua inconstância amorosa, acompanha o amigo Filipe à casa de sua avó para comemorar um feriado. Lá, conhece Carolina, irmã de Filipe a quem, carinhosamente, chamam de Moreninha. A partir desse encontro e devido à personalidade esfuziante de Carolina, Augusto começa a mudar.
26;Percy Jackson e os olimpianos;O mar de monstros ;2;1 ed.;1;ex. 01;Rick Riordan;Intrínseca;ParaTCC;R585m;2014;978-85-805-7540-8;26.png;1;"Em O Mar de Monstros, Percy e os amigos se envolvem em uma perigosa aventura para defender o acampamento dos semideuses; em A maldição do titã, e acaba descobrindo que o Senhor dos Titãs despertou e está disposto a destruir a humanidade; em A batalha do Labirinto, o semideus vai combater o perigoso titã no temido Labirinto de Dédalo; e em O último olimpiano, Percy tem que lidar não só com o exército de Cronos, mas também com a chegada de seu décimo sexto aniversário e, assim, com a profecia que determinará seu destino."
27;Harry Potter ;A câmara secreta;2;1 ed.;1;ex. 01;J.K. Rowling;Rocco;ParaTCC;R884a;2017;978-85-325-3079-0;27.png;2;Depois de férias aborrecidas na casa dos tios trouxas, está na hora de Harry Potter voltar a estudar. Coisas acontecem, no entanto, para dificultar o regresso de Harry. Persistente e astuto, o herói não se deixa intimidar pelos obstáculos e, com a ajuda dos fiéis amigos Weasley, começa o ano letivo na Escola de Magia e Bruxaria de Hogwarts. As novidades não são poucas. Novos colegas, novos professores, muitas e boas descobertas e um grande e perigosos desafio. Alguém ou alguma coisa ameaça a segurança e a tranquilidade dos membros de Hogwarts.
28;Vinte mil léguas submarinas;;1;2 ed.;1;ex. 01;Júlio Verne;Moderna;ParaTCC;V531v;2012;978-85-160-7977-2;28.png;1;Imenso, colossal, desconhecido. O gigantesco animal marinho, que possui luz fosforescente e jorra enormes trombas d'água, move-se com rapidez e astúcia. Afunda navios em um lugar, para logo depois aparecer em outro e causar mais estragos.Uma expedição parte para encontrá-lo e caçá-lo, mas nem o melhor arpoador consegue fisgar o monstro: sua pele, de tão lisa, mais parece aço. Será coisa de outro mundo? Essa é uma vertiginosa aventura, que desafia a razão, a realidade e a compreensão humana.
29;Memórias póstumas de Brás Cubas;;1;3 ed.;1;ex. 01;Machado de Assis;Principis;ParaTCC;A848m;2019;978-85-943-1861-9;29.png;3;Não tive filhos, não transmiti a nenhuma criatura o legado da nossa miséria. Com essas palavras, o narrador de Memórias Póstumas de Brás Cubas resume a sua vida. O tom assumido na obra, bem como as técnicas empregadas na composição romanesca, são alguns dos fatores que justificam o lugar de Machado de Assis entre os maiores escritores do século XIX. Neste romance repleto de digressões filosóficas, o escritor se vale da posição privilegiada de Brás Cubas, que, como defunto autor, narra as suas desventuras e revela as contradições da sociedade brasileira do século XIX, por meio de uma análise aprofundada de seus personagens.
30;Romeu e Julieta;;1;1 ed.;1;ex. 01;William Shakespeare;Penguin;ParaTCC;S527r;2016;978-85-828-5040-4;30.png;6;Há muito tempo duas famílias banham em sangue as ruas de Verona. Enquanto isso, na penumbra das madrugadas, ardem as brasas de um amor secreto. Romeu, filho dos Montéquio, e Julieta, herdeira dos Capuleto, desafiam a rixa familiar e sonham com um impossível futuro, longe da violência e da loucura. Romeu e Julieta é a primeira das grandes tragédias de William Shakespeare, e esta nova tradução de José Francisco Botelho recria com maestria o ritmo ao mesmo tempo frenético e melancólico do texto shakespeariano. Contando também com um excelente ensaio introdutório do especialista Adrian Poole, esta edição traz nova vida a uma das mais emocionantes histórias de amor já contadas.
31;Enola Holmes;O caso do marquês desaparecido;1;6 ed.;1;ex. 01;Nancy  Springer;Verus;ParaTCC;S769e;2020;978-85-768-6833-0;31.png;2;Entre disfarces e fugas, a irmã de Sherlock Holmes vai nos mostrar que o sangue investigativo também faz parte dela. Mas será que Enola será capaz de decodificar as pistas necessárias e finalmente encontrar sua mãe? O livro que inspirou o filme homônimo do Netflix. Em Enola Holmes: O caso do marquês desaparecido, Enola Holmes é a irmã do famoso detetive Sherlock Holmes que descobre no dia de seu aniversário de catorze anos que sua mãe desapareceu. Por conta dessa descoberta, ela embarca em uma viagem a Londres em busca de pistas que indiquem o paradeiro da mãe. Mas nada poderia preparar Enola para o que a espera na cidade grande. Ao chegar, ela se vê envolvida no sequestro de um jovem marquês. E, no meio de toda a trama, ainda é obrigada a fugir de vilões.
32;Percy Jackson e os olimpianos;O último olimpiano;5;1 ed.;1;ex. 01;Rick Riordan;Intrínseca;ParaTCC;R585u;2014;978-85-805-7543-9;32.png;1;Os meios-sangues passaram o ano inteiro preparando-se para a batalha contra os Titãs, e sabem que as chances de vitória são pequenas. O exército de Cronos está mais poderoso que nunca, e cada novo deus ou semideus que se une à causa confere mais força ao vingativo titã. Enquanto os Olimpianos se ocupam de conter a fúria do monstro Tifão, Cronos avança em direção à cidade de Nova York, onde o Monte Olimpo está precariamente vigiado. Agora, apenas Percy Jackson e seu exército de heróis podem deter o Senhor do Tempo.
33;Viagem ao centro da terra;;1;1 ed.;1;ex. 01;Júlio Verne;Principis;ParaTCC;V531c;2019;978-85-943-1815-2;33.png;2;O professor Lidenbrock consegue decifrar um enigma do pergaminho de um cientista do século XII e se junta ao seu sobrinho, para checar a possibilidade de chegar ao centro da Terra seguindo o relato decifrado.
34;A  h ora da estrela ;;1;1 ed.;1;ex. 01;Clarice Lispector;Rocco;ParaTCC;L771a;2020; 978-65-553-2035-0;34.png;3;"Narrando a história de Macabéa, uma alagoana órfã, virgem e solitária, criada por uma tia tirana, que a leva para o Rio de Janeiro, onde trabalha como datilógrafa. Em A hora da estrela, Clarice escreve sabendo que a morte está próxima e põe um pouco de si nos personagens Rodrigo e Macabéa. Ele, um escritor à espera da morte; ela, uma solitária que gosta de ouvir a Rádio Relógio e que passou a infância no Nordeste, como Clarice. "
35;Dom Casmurro;;1;1 ed.;1;ex. 01;Machado de Assis;Panda Books;ParaTCC;A848d;2019;978-85-788-8723-0;35.png;3;Escrito em 1899, este clássico da literatura brasileira é considerado uma das mais famosas obras do Realismo. Se você não cismar de sofrer com a língua que é diferente da língua atual, vai se envolver à beça nessa história de amor entre Capitu e Bentinho, um dos romances mais famoso de todos os tempos. Nesta edição especial você tem o texto integral acompanhado de explicações e links bem espertos que o ajudarão a compreender melhor a trama, diferentes estilos de ilustrações e um encarte com o mapa dos personagens para você lembrar quem é quem no romance de Machado de Assis.
36;Gabriela cravo e canela;;1;1 ed. ;1;ex. 01;Jorge Amado;Edição Econômica;ParaTCC;A481g;2012;978-85-359-2098-7;36.png;3;O romance entre o sírio Nacib e a mulata Gabriela, um dos mais sedutores personagens femininos criados por Jorge Amado, tem como pano de fundo, em meados dos anos 1920, a luta pela modernização de Ilhéus, em desenvolvimento graças às exportações do cacau. Com sua sensualidade inocente, Gabriela não apenas conquista o coração de Nacib como também seduz um sem-número de homens ilheenses, colocando em xeque a lei que exigia que a desonra do adultério feminino fosse lavada com sangue. Publicado em 1958, o livro logo se tornou um sucesso mundial. Na televisão, a história se transformou numa das novelas brasileiras mais aclamadas mundo afora.
37;Laços De Família;;1;1 ed.;1;ex. 01;Clarice Lispector;Rocco;ParaTCC;L771c;1998;978-85-325-0813-3;37.png;3;Com treze contos, esta coletânea contém algumas das obras-primas da narrativa curta brasileira. Neles, os personagens são sempre surpreendidos por uma modalidade perturbadora do insólito, no meio da banalidade de seus cotidianos. Clarice cria situações onde uma revelação, que desconstrói e ameaça a realidade, desvela a existência e aponta para uma apreensão filosófica da vida. A autora trata a solidão, a morte, a incomunicabilidade e os abismos da existência através da rotina de dona de casa.
38;Frankenstein;;1;1 ed.;1;ex. 01;Mary Shelley;L&PM;ParaTCC;S545f;1997;978-85-254-0661-3;38.png;2;Mary Shelley 1797-1851, mulher do poeta inglês Percy B. Shelley, escreveu Frankenstein para participar de um concurso de histórias de terror realizado na intimidade do castelo de Lord Byron. Mesmo competindo com grandes gênios da literatura universal, acabou redigindo esta que é uma das mais impressionantes histórias de horror de todos os tempos. A história do dr. Victor Frankenstein e da monstruosa criatura por ele concebida vem fascinando gerações desde que foi publicada há mais de cem anos. Brilhante história de horror, escrita com fervor quase alucinatório, Frankenstein representa um dos mais estranhos florescimentos da imaginação romântica.
39;O Médico e o Monstro;;1;1 ed.;1;ex. 01;Robert L Stevenson;L&PM Pocket;ParaTCC;S847o;2002; 978-85-254-1123-5;39.png;2;Esta obra traz à vida uma história sobre a natureza humana e a dualidade entre o bem e o mal. O livro acompanha a investigação do advogado Gabriel John Utterson sobre as estranhas ocorrências com seu amigo Dr. Henry Jekyll, um homem recatado, elegante, que protege, até depois de sua morte, Edward Hyde, um criminoso de feições grosseiras e hábitos assustadores.
40;A escrava Isaura;;1;2 ed.;1;ex. 01;Ivan Jaf e  Bernardo Guimarães;Ática;ParaTCC;J23i;2012; 978-85-081-5743-3;40.png;3;saura é filha de uma escrava negra e de um homem branco. Ela foge de Leo?ncio, seu senhor, e recomec?a a vida como Elvira. A paixa?o e a luta pela liberdade esta?o intactas nesta adaptac?a?o.
41;Circulo secreto;A iniciação;1;2 ed.;1;ex01;Smith L. J.;Galera Record;ParaTCC;S649c;2011;978-85-01-09559-6;41.png;2;A história começa quando Cassie se muda da Califórnia para New Salem, depois de passar as férias em Cape Cod, e começa a se sentir estranhamente atraída pelo grupo de jovens que domina sua nova escola. 
42;Circulo secreto;A prisioneira;2;1 ed.;1;ex01;Smith L. J.;Galera Record;ParaTCC;S649p;2012;978-85-01-09627-2;42.png;2;Em A prisioneira, Cassie está sendo chantageada para roubar a poderosa Caveira de Cristal, capaz de liberar uma força maligna em New Salem.
43;Circulo secreto;O poder;3;1 ed.;1;ex01;Smith L. J.;Galera Record;ParaTCC;S649c;2013;978-85-01-09628-9;43.png;2;O terceiro livro da série Círculo Secreto, O Poder, começa com a libertação de Cassie das garras afiadas de Faye. Além de manipular e ameaçar Cassie, Faye também conseguiu a liderança do círculo e pretende usar sua autoridade para libertar o poder presente no crânio de cristal.
44;Esconda-se;Você terá boas razões para temer;1;1 ed.;1;ex01;Lisa Gardner;Novo Conceito;ParaTCC;G226e;2013;978-85-8163-310-7;44.png;2;Uma história de rancor entre membros de uma mesma família que nunca conseguiram superar os episódios de violência doméstica que presenciaram. Um pingente que foi parar em mãos erradas — e a cena de um crime brutal: seis meninas mortas e mumificadas há mais de trinta anos. Agora, cabe à famosa detetive D.D.
45;Os instrumentos mortais;Cidade de Vidro;3;34 ed;1;ex01;Cassandra Clare;Galera Record;ParaTCC;C5A1c;2017;978-85-01-08716-4;45.png;2;Para salvar a vida de sua mãe, Clary deve viajar até a Cidade de Vidro, lar ancestral dos Caçadores de Sombras – podemos pular a regra que diz que entrar em Alicante sem permissão é contra a lei e ir contra a lei pode significar a morte? E também que chegar lá, criando um Portal sozinha, só mostra o quanto os poderes de Clary são sofisticados e como isso é perigoso? Para complicar ainda mais, quando chega à cidade, ela logo descobre que Jace não a quer por perto (o que não se aplica a outras meninas…) e Simon, que nem queria estar ali, está sendo investigado por ser um vampiro que pode suportar a luz do sol.
46;Dracula;;1;1 ed.;1;ex01;Bram Stoker;Principis;ParaTCC;S815d;2020;978-65-555-2000-2;46.png;2;No século 15, a Igreja se recusa a enterrar em solo sagrado a grande paixão do líder dos Cárpatos que decide, então, renegar a instituição religiosa. Ele passa a perambular através dos séculos até encontrar a suposta reencarnação de sua amada.
47;A ultima festa;Todos foram convidados, todos são suspeitos;1;1 ed.;1;ex01;Lucy Foley;Intrinseca;ParaTCC;F699u;2019;978-85-510-0572-9;47.png;5;Todo ano, nove amigos comemoram o réveillon juntos. Desta vez, apenas oito vão voltar para a casa depois da festa. ... E então, em meio à grande festa da última noite do ano, o fio que os mantém unidos enfim arrebenta. No dia seguinte, alguém está morto e uma forte nevasca impede a vinda do resgate.
48;O retrato de Dorian Gray;;1;1 ed.;1;ex01;Oscar Wilde;Principis;ParaTCC;W671r;2020;978-65-509-7029-1;48.png;2;Dorian Gray, um jovem da alta sociedade, faz um pacto demoníaco para ter a juventude eterna enquanto o quadro com seu retrato é que envelhece. Com o tempo, sua vida de abusos transforma a imagem num monstro. Baseado no livro homônimo de Oscar Wilde.
49;O hoeme de giz;;1;1 ed.;1;ex01;Tudor C.J.;Intrinseca;ParaTCC;T827h;2018;978-85-510-0293-3;49.png;5;Em 2016, Eddie se esforça para superar o passado, até que um dia ele e os amigos de infância recebem um mesmo aviso: o desenho de um homem de giz enforcado. Quando um dos amigos aparece morto, Eddie tem certeza de que precisa descobrir o que de fato aconteceu trinta anos atrás.
50;Fallen;Sexy, sublime e assustador...;1;1 ed.;1;ex01;Lauren Kate;Galera Record;ParaTCC;K31f;2016;978-85-01-08962-5;50.png;6;Lucinda é uma bela jovem que passa seus dias em um internato em Savannah, forçada a fazer uma intensa terapia após ter sido considerada responsável pela morte de um garoto. Lá, ela conhece o misterioso Daniel, por quem se apaixona.
51;Belo desastre;;1;20 ed.;1;ex01;Jamie Mcguire;Verus Editora;ParaTCC;M429b;2012;978-85-7686-191-1;51.png;6;Travis é um jovem com um corpo esculpido, abdômen definido e braços tatuados. Tudo que Abby precisa – e deseja – evitar. Ele passa noites ganhando dinheiro em um clube da luta e os dias seduzindo as garotas da faculdade. Mas o menino é um conquistador e logo se depara com a resistência de Abby ao seu charme.
52;Desastre Eminente;;2;8 ed.;1;ex01;Jamie Mcguire;Verus Editora;ParaTCC;M429d;2013;978-85-7686-255-0;52.png;6;Travis perdeu a mãe muito cedo, mas, antes de morrer, ela lhe ensinou duas regras de vida: ame muito, lute mais ainda. Tendo crescido em uma família de homens que gostam de jogos e lutas, Travis Maddox é um cara durão.
53;Belo Casamento;;3;1 ed.;1;ex01;Jamie Mcguire;Verus Editora;ParaTCC;M429b;2014;978-85-7686-325-0;53.png;6;Belo casamento é uma história de amor inesquecível, sobre um bad boy com um coração enorme que se apaixona pela mais improvável das garotas, e, contra todas as probabilidades, eles terminam juntos e felizes. Um livro espirituoso, sexy, memorável e muito Abby e Travis.
54;A garota do lago;Sem inimigos nem suspeitos. Apenas uma pessoa cheia de planos que estava viva num dia e no outro é encontrada morta;1;1 ed.;1;ex01;Charlie Donlea;Faro Editorial;ParaTCC;D684a;2017;978-85-62409-88-2;54.png;5;Filha de um poderoso advogado, Becca estava no auge de sua vida. Atraída Instintivamente pela notícia, a repórter Kelsey Castle vai até a cidade para investigar o caso. ... E Logo Se Estabelece Uma Conexão Íntima Quando Um Vivo Caminha Nas Mesmas Pegadas Dos Mortos...
